Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
4.550000e+00	2.099469e-01	0	4.199702e+02	1.116019e+02	
4.600000e+00	2.167568e-01	0	4.179841e+02	1.156741e+02	
4.650000e+00	1.769226e-01	0	3.837423e+02	8.248637e+01	
4.700000e+00	2.271833e-01	0	3.523154e+02	1.035694e+02	
4.750000e+00	1.627848e-01	0	4.849572e+02	9.429317e+01	
4.800000e+00	1.831237e-01	0	4.007880e+02	8.984687e+01	
4.850000e+00	2.133765e-01	0	4.336136e+02	1.176204e+02	
4.900000e+00	2.356888e-01	0	3.938838e+02	1.214610e+02	
4.950000e+00	1.996158e-01	0	4.136008e+02	1.031520e+02	
5	1.996090e-01	0	3.542270e+02	8.834046e+01	
5.050000e+00	1.826728e-01	0	4.247154e+02	9.492397e+01	
5.100000e+00	2.527727e-01	0	3.737655e+02	1.264377e+02	
5.150000e+00	2.630747e-01	0	3.437021e+02	1.226981e+02	
5.200000e+00	3.176664e-01	0	3.224761e+02	1.501316e+02	
5.250000e+00	2.185340e-01	0	3.655892e+02	1.022357e+02	
5.300000e+00	2.040731e-01	0	3.959390e+02	1.015175e+02	
5.350000e+00	2.077086e-01	0	3.937946e+02	1.032379e+02	
5.400000e+00	1.986476e-01	0	3.982878e+02	9.873174e+01	
5.450000e+00	2.041938e-01	0	4.402066e+02	1.129514e+02	
5.500000e+00	1.882815e-01	0	4.240815e+02	9.836745e+01	
5.550000e+00	1.648168e-01	0	4.005101e+02	7.903748e+01	
5.600000e+00	2.253434e-01	0	3.834930e+02	1.115560e+02	
5.650000e+00	1.517459e-01	0	4.088000e+02	7.313107e+01	
5.700000e+00	2.481857e-01	0	3.557338e+02	1.174333e+02	
5.750000e+00	2.104720e-01	0	3.795210e+02	1.011725e+02	
5.800000e+00	1.843228e-01	0	4.018595e+02	9.081024e+01	
5.850000e+00	2.105463e-01	0	3.994109e+02	1.065224e+02	
5.900000e+00	3.120096e-01	0	3.225557e+02	1.462818e+02	
5.950000e+00	4.501195e-01	0	2.911422e+02	2.383223e+02	
6	4.630675e-01	0	2.892547e+02	2.494624e+02	
6.050000e+00	4.221095e-01	0	2.929318e+02	2.139666e+02	
6.100000e+00	3.682138e-01	0	3.150288e+02	1.836032e+02	
6.150000e+00	8.161495e-01	0	9.737868e+01	4.322837e+02	
6.200000e+00	8.380775e-01	0	7.997317e+01	4.139247e+02	
6.250000e+00	7.903992e-01	0	9.023631e+01	3.402787e+02	
6.300000e+00	7.910354e-01	0	1.203607e+02	4.556253e+02	
6.350000e+00	8.132026e-01	0	9.704791e+01	4.224877e+02	
6.400000e+00	8.299377e-01	0	8.227763e+01	4.015311e+02	
6.450000e+00	8.075365e-01	0	9.346971e+01	3.921792e+02	
6.500000e+00	8.274135e-01	0	8.341184e+01	3.998928e+02	
6.550000e+00	7.962251e-01	0	9.158249e+01	3.578472e+02	
6.600000e+00	8.375833e-01	0	7.763435e+01	4.003605e+02	
6.650000e+00	7.473110e-01	0	1.241412e+02	3.671393e+02	
6.700000e+00	7.653376e-01	0	1.343361e+02	4.381291e+02	
6.750000e+00	8.256846e-01	0	9.133146e+01	4.326123e+02	
6.800000e+00	8.173093e-01	0	9.682117e+01	4.331519e+02	
6.850000e+00	7.914340e-01	0	9.599238e+01	3.642572e+02	
6.900000e+00	8.265928e-01	0	8.586362e+01	4.092924e+02	
6.950000e+00	7.495399e-01	0	1.263018e+02	3.779770e+02	
7	8.034062e-01	0	9.593277e+01	3.920417e+02	
7.050000e+00	8.116659e-01	0	8.898331e+01	3.834925e+02	
7.100000e+00	8.048434e-01	0	1.050933e+02	4.334144e+02	
7.150000e+00	7.764217e-01	0	1.150933e+02	3.996849e+02	
7.200000e+00	8.232893e-01	0	8.897103e+01	4.145132e+02	
7.250000e+00	8.142454e-01	0	8.486887e+01	3.720182e+02	
7.300000e+00	8.258148e-01	0	8.559704e+01	4.058169e+02	
7.350000e+00	8.353755e-01	0	8.134558e+01	4.127825e+02	
7.400000e+00	8.096176e-01	0	9.629896e+01	4.095197e+02	
7.450000e+00	7.962441e-01	0	1.079335e+02	4.217861e+02	
7.500000e+00	7.735299e-01	0	1.089675e+02	3.721885e+02	
7.550000e+00	8.015500e-01	0	8.982878e+01	3.628231e+02	
7.600000e+00	7.934246e-01	0	1.022487e+02	3.927217e+02	
7.650000e+00	6.535010e-01	0	1.869187e+02	3.525308e+02	
7.700000e+00	3.497082e-01	0	3.108380e+02	1.671598e+02	
7.750000e+00	2.059018e-01	0	3.930305e+02	1.019089e+02	
7.800000e+00	2.135354e-01	0	4.043828e+02	1.097952e+02	
7.850000e+00	2.073058e-01	0	4.127387e+02	1.079397e+02	
7.900000e+00	1.767592e-01	0	3.990415e+02	8.567878e+01	
7.950000e+00	2.061510e-01	0	4.341364e+02	1.127389e+02	
8	2.086855e-01	0	4.267610e+02	1.125454e+02	
8.050000e+00	2.119853e-01	0	3.903757e+02	1.050157e+02	
8.100000e+00	2.232472e-01	0	4.067051e+02	1.168914e+02	
8.150000e+00	1.739320e-01	0	3.942458e+02	8.301003e+01	
8.200000e+00	1.871619e-01	0	3.858570e+02	8.884637e+01	
8.250000e+00	2.247964e-01	0	4.151052e+02	1.203738e+02	
8.300000e+00	2.082012e-01	0	4.313716e+02	1.134279e+02	
8.350000e+00	4.374654e-01	0	3.122033e+02	2.427906e+02	
8.400000e+00	4.273340e-01	0	2.798472e+02	2.088272e+02	
8.450000e+00	8.391105e-01	0	7.463580e+01	3.892589e+02	
8.500000e+00	8.129129e-01	0	9.775083e+01	4.247374e+02	
8.550000e+00	7.925056e-01	0	1.022460e+02	3.905190e+02	
8.600000e+00	8.118224e-01	0	9.050871e+01	3.904663e+02	
8.650000e+00	7.744144e-01	0	1.235555e+02	4.241545e+02	
8.700000e+00	8.119472e-01	0	1.032954e+02	4.459937e+02	
8.750000e+00	8.400048e-01	0	7.828737e+01	4.110235e+02	
8.800000e+00	8.035446e-01	0	9.913235e+01	4.054725e+02	
8.850000e+00	7.990388e-01	0	9.318569e+01	3.705141e+02	
8.900000e+00	8.315740e-01	0	7.395845e+01	3.651570e+02	
8.950000e+00	8.203138e-01	0	9.230302e+01	4.213871e+02	
9	6.538904e-01	0	1.716539e+02	3.242986e+02	
9.050000e+00	7.991877e-01	0	1.136845e+02	4.524386e+02	
9.100000e+00	7.561345e-01	0	1.246612e+02	3.865273e+02	
9.150000e+00	8.082762e-01	0	8.848004e+01	3.730174e+02	
9.200000e+00	7.931510e-01	0	9.483216e+01	3.636285e+02	
