Time (s)	Fret_1	Idl_1	Donor_1	Acceptor_1
4.550000e+00	1.893676e-01	0	3.540242e+02	8.270177e+01	
4.600000e+00	1.927704e-01	0	4.170189e+02	9.958617e+01	
4.650000e+00	2.077889e-01	0	3.977442e+02	1.043243e+02	
4.700000e+00	2.532393e-01	0	3.534685e+02	1.198672e+02	
4.750000e+00	1.956460e-01	0	3.945269e+02	9.596225e+01	
4.800000e+00	1.954191e-01	0	3.591839e+02	8.723969e+01	
4.850000e+00	2.108043e-01	0	4.464533e+02	1.192534e+02	
4.900000e+00	2.005873e-01	0	3.879109e+02	9.733398e+01	
4.950000e+00	1.996101e-01	0	3.746328e+02	9.343008e+01	
5	1.085337e-01	0	3.910782e+02	4.761275e+01	
5.050000e+00	1.848705e-01	0	4.418340e+02	1.002075e+02	
5.100000e+00	1.819002e-01	0	4.342690e+02	9.655742e+01	
5.150000e+00	4.745885e-01	0	2.739643e+02	2.474638e+02	
5.200000e+00	4.243437e-01	0	2.824753e+02	2.082260e+02	
5.250000e+00	5.034515e-01	0	2.549359e+02	2.584800e+02	
5.300000e+00	4.883774e-01	0	2.735823e+02	2.611522e+02	
5.350000e+00	4.239466e-01	0	2.911411e+02	2.142654e+02	
5.400000e+00	4.615956e-01	0	2.728789e+02	2.339500e+02	
5.450000e+00	4.128964e-01	0	3.004240e+02	2.112812e+02	
5.500000e+00	4.511481e-01	0	2.901039e+02	2.384611e+02	
5.550000e+00	4.519843e-01	0	2.535705e+02	2.091362e+02	
5.600000e+00	4.305881e-01	0	2.745354e+02	2.076031e+02	
5.650000e+00	4.184192e-01	0	2.997697e+02	2.156698e+02	
5.700000e+00	4.609948e-01	0	2.940903e+02	2.515265e+02	
5.750000e+00	4.825238e-01	0	2.480094e+02	2.312579e+02	
5.800000e+00	5.076326e-01	0	2.655679e+02	2.738016e+02	
5.850000e+00	3.036987e-01	0	3.351082e+02	1.461607e+02	
5.900000e+00	1.938603e-01	0	4.007302e+02	9.636749e+01	
5.950000e+00	1.984056e-01	0	3.814955e+02	9.442536e+01	
6	1.905841e-01	0	4.424639e+02	1.041820e+02	
6.050000e+00	1.899058e-01	0	3.820684e+02	8.956611e+01	
6.100000e+00	2.418858e-01	0	3.628067e+02	1.157580e+02	
6.150000e+00	1.959233e-01	0	4.266278e+02	1.039532e+02	
6.200000e+00	4.823611e-01	0	2.516805e+02	2.345281e+02	
6.250000e+00	6.091703e-01	0	1.888990e+02	2.944292e+02	
6.300000e+00	8.262060e-01	0	8.227221e+01	3.911171e+02	
6.350000e+00	6.356708e-01	0	1.946064e+02	3.395435e+02	
6.400000e+00	4.080843e-01	0	3.006973e+02	2.073096e+02	
6.450000e+00	4.129267e-01	0	2.639781e+02	1.856729e+02	
6.500000e+00	1.863070e-01	0	4.132924e+02	9.462935e+01	
6.550000e+00	1.962526e-01	0	4.049453e+02	9.887627e+01	
6.600000e+00	1.912202e-01	0	3.874832e+02	9.161288e+01	
6.650000e+00	2.306111e-01	0	3.240890e+02	9.714008e+01	
6.700000e+00	2.006592e-01	0	3.918824e+02	9.837455e+01	
6.750000e+00	1.677251e-01	0	3.939640e+02	7.939405e+01	
6.800000e+00	2.135799e-01	0	4.205826e+02	1.142239e+02	
6.850000e+00	2.070710e-01	0	4.089406e+02	1.067936e+02	
6.900000e+00	1.898394e-01	0	3.859585e+02	9.043901e+01	
6.950000e+00	2.151069e-01	0	3.629552e+02	9.947111e+01	
7	1.634088e-01	0	3.948037e+02	7.711581e+01	
7.050000e+00	2.108959e-01	0	3.750186e+02	1.002274e+02	
7.100000e+00	2.128628e-01	0	4.471335e+02	1.209168e+02	
7.150000e+00	2.157266e-01	0	3.827607e+02	1.052843e+02	
7.200000e+00	1.907707e-01	0	3.977097e+02	9.375754e+01	
7.250000e+00	2.367629e-01	0	3.698322e+02	1.147252e+02	
7.300000e+00	2.166840e-01	0	4.430750e+02	1.225651e+02	
7.350000e+00	2.214028e-01	0	4.019674e+02	1.143039e+02	
7.400000e+00	2.187576e-01	0	3.940383e+02	1.103356e+02	
7.450000e+00	1.776031e-01	0	4.028548e+02	8.699966e+01	
7.500000e+00	1.931542e-01	0	3.824986e+02	9.156795e+01	
7.550000e+00	3.036928e-01	0	3.685750e+02	1.607531e+02	
7.600000e+00	2.276422e-01	0	4.008902e+02	1.181571e+02	
7.650000e+00	1.983531e-01	0	4.182408e+02	1.034862e+02	
7.700000e+00	1.948303e-01	0	3.858441e+02	9.336435e+01	
7.750000e+00	2.150389e-01	0	4.115962e+02	1.127561e+02	
7.800000e+00	1.706678e-01	0	3.982469e+02	8.195502e+01	
7.850000e+00	1.561388e-01	0	4.927636e+02	9.117554e+01	
7.900000e+00	1.961403e-01	0	3.957318e+02	9.655785e+01	
7.950000e+00	1.944625e-01	0	4.208880e+02	1.016054e+02	
8	1.906852e-01	0	3.958709e+02	9.327235e+01	
8.050000e+00	2.064542e-01	0	4.178707e+02	1.087160e+02	
8.100000e+00	1.844554e-01	0	4.260620e+02	9.636438e+01	
8.150000e+00	2.088974e-01	0	3.890585e+02	1.027342e+02	
